,error,one,two,can,cheb,cos,euc,index_diff,ratio
8343,1,1st,first,182.145396565,0.3525390625,0.527797716736,2.34812578992,-0.977203338083,50
8625,1,2nd,second,165.943615417,0.345458984375,0.405633445449,2.12984462911,-0.955320877335,44
8642,1,zone,zoning,194.220102087,0.767578125,0.771112344415,4.34624107843,0.607634789453,60
8785,1,3rd,third,165.465394501,0.39697265625,0.404827319373,2.13820269427,-0.929938605995,50
8889,1,4th,fourth,174.397973497,0.384033203125,0.450671741919,2.30843083632,-0.861065707748,44
8992,1,5th,fifth,169.12583647,0.36474609375,0.419825861848,2.26929582663,-0.744900466945,50
9045,1,6th,six,204.099622057,0.4580078125,0.806912757664,2.90434031074,-0.946557534906,0
9046,1,6th,sixth,162.645075692,0.40869140625,0.414584566613,2.30039888666,-0.694822888283,50
9093,2,7in,in,215.25809746,0.54931640625,0.925007686144,3.1993285169,-0.99999342313,80
9104,1,7th,seventh,160.037031794,0.462890625,0.398360815291,2.35110211889,-0.619991987179,40
9156,1,8th,eighth,169.075378444,0.388427734375,0.433753459564,2.43362332667,-0.572275759822,44
9217,1,9th,ninth,164.032243665,0.435180664062,0.380810987612,2.39266792744,-0.556068543017,50
9240,1,one,one,0.0,0.0,2.22044604925e-16,0.0,0.0,100
9246,2,aac,ase,186.118403817,0.5498046875,0.646246981432,3.37270650454,0.102981188996,33
9248,1,aah,ahhh,166.185107382,0.51123046875,0.420085321573,2.99261985514,0.00676600667474,57
9251,1,one,an,208.281121062,0.4130859375,0.78585274285,2.35554227043,-0.25,40
9264,2,one,any,195.0605028,0.293060302734,0.601988614764,1.86085012108,0.383561643836,33
9268,2,one,as,198.354925445,0.34375,0.728373682649,1.78395658401,-0.525423728814,0
9271,2,one,at,205.854893961,0.3330078125,0.770007834196,1.92885308947,-0.578947368421,0
9293,1,abilities,capabilities,170.321028313,0.478515625,0.457208135607,2.70400939505,-0.457547612346,86
9344,2,about,above,201.366699244,0.556640625,0.813836811043,2.82283442293,0.902127659574,60
9359,2,about,at,197.939380517,0.4736328125,0.736483995757,2.2083311983,-0.586206896552,57
9374,2,about,if,192.234563901,0.40380859375,0.714228412336,2.24228373225,0.313432835821,0
9376,2,about,in,202.622087937,0.363525390625,0.73976547123,2.06181681736,-0.957446808511,0
9395,2,about,now,187.314362196,0.3984375,0.705430035016,2.10340846961,0.356643356643,25
9398,2,about,on,213.145829104,0.4140625,0.780540602382,2.24327441196,-0.803921568627,29
9402,2,about,probably,194.083048932,0.53125,0.782827181492,2.342976713,0.88189987163,31
9414,2,about,that,201.312733448,0.3447265625,0.66423589738,1.94648301402,-0.877551020408,44
9420,2,about,the,200.722137529,0.33251953125,0.73440425403,1.96875352525,-0.614035087719,25
9443,2,above,about,201.366699244,0.556640625,0.813836811043,2.82283442293,-0.902127659574,60
9450,2,abs,halves,204.532006333,1.025390625,0.861304910549,4.91587393826,-0.461839849808,44
9474,2,absolutely,yes,184.195765799,0.3994140625,0.603756439724,2.62263469181,0.121943622489,15
9476,1,abstract,abstracted,162.46927223,0.422729492188,0.333573591851,2.56571534758,0.751291594039,89
9486,1,abutment,abutments,168.635804684,0.5859375,0.403168299393,3.59535488725,0.140877111799,94
9504,1,accept,accepts,158.711125264,0.3271484375,0.313453235343,2.1906405746,0.684111416242,92
9506,1,acceptances,acceptance,192.79787115,0.74267578125,0.645391604026,4.42138382015,-0.806078882628,95
9509,2,accessed,excess,216.69545957,0.878662109375,0.968558437445,4.35790838391,-0.256806241044,57
9519,1,accidents,accident,152.032382852,0.513671875,0.289004293102,2.66295413178,-0.510073923757,94
9524,1,accomplish,accomplished,159.66384337,0.3525390625,0.257254436375,1.96122321618,-0.141474616583,91
